"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Browning, TyiasBrowning, T.EVE",5,3,299,1,0,0,5,0,155,78,5,2,0,14,2,4,0,0,0,0,0,3
"Brunt, ChrisBrunt, C.WBA",22,20,1803,7,0,2,59,49,1149,477,43,25,0,40,9,19,0,0,0,3,5,19
"Bunn, MarkBunn, M.AVL",10,10,900,2,0,0,0,0,306,16,3,0,0,1,0,1,0,0,0,0,0,0
"Butland, JackButland, J.STK",31,31,2790,0,0,0,0,0,1203,164,27,1,0,1,1,1,0,0,0,0,0,0
"Byram, SamByram, S.WHU",4,2,286,3,0,2,10,0,186,69,6,2,0,9,4,7,0,0,0,0,0,0
"Caballero, WillyCaballero, W.MCI",4,3,310,0,0,0,0,0,109,26,2,0,0,0,0,0,0,0,0,0,0,0
"Cabaye, YohanCabaye, Y.CRY",33,32,2703,7,0,0,85,93,1939,1072,86,20,0,142,40,39,3,4,5,1,20,66
"Cahill, GaryCahill, G.CHE",23,21,1955,2,0,1,1,0,1124,653,67,30,0,46,21,17,0,0,2,1,4,13
"Cameron, GeoffCameron, G.STK",30,27,2361,0,1,0,16,0,1640,868,85,31,0,64,8,26,0,0,0,0,2,15
"Campbell, FraizerCampbell, F.CRY",11,4,360,1,0,6,3,0,154,53,2,3,0,7,2,8,0,0,0,0,1,4
"Campbell, JoelCampbell, J.ARS",19,11,887,0,0,3,22,1,538,269,7,7,0,39,25,9,0,0,3,2,7,19
"Can, EmreCan, E.LIV",30,28,2492,9,0,5,30,0,2312,1443,51,17,0,123,32,36,0,0,1,0,13,31
"Canós, SergiCanós, S.LIV",1,0,9,0,0,0,0,0,5,3,0,0,0,1,0,1,0,0,0,0,0,0
"Capoue, ÉtienneCapoue, É.WAT",33,33,2822,7,0,2,35,3,2192,1220,85,19,0,116,56,54,0,0,0,1,8,35
"Carrick, MichaelCarrick, M.MUN",28,22,1975,4,0,0,28,0,1778,1335,29,8,0,56,13,11,0,0,0,0,1,7
"Carroll, AndyCarroll, A.WHU",27,13,1434,2,0,7,11,0,774,241,9,6,0,23,24,37,1,1,9,2,23,56
"Carroll, ThomasCarroll, T.TOT",19,4,506,3,0,0,11,2,456,277,7,10,0,23,3,8,0,0,1,0,3,5
"Cathcart, CraigCathcart, C.WAT",35,34,3033,3,0,0,7,0,1519,743,54,34,0,53,12,10,0,0,1,0,2,5
"Cattermole, LeeCattermole, L.SUN",31,27,2216,8,0,0,23,0,1296,719,41,18,0,91,16,40,0,0,0,0,1,11
